deployment_id,repository_id,application_id,deployment_timestamp,status
DEP-20730,REPO-15,APP-REPO-15,2025-11-01 06:55:35,SUCCESS
DEP-68390,REPO-5,APP-REPO-5,2026-04-12 10:04:11,SUCCESS
DEP-60132,REPO-13,APP-REPO-13,2026-03-22 11:30:33,SUCCESS
DEP-94320,REPO-18,APP-REPO-18,2026-07-02 09:27:06,SUCCESS
DEP-54245,REPO-4,APP-REPO-4,2026-05-09 15:57:10,SUCCESS
DEP-94529,REPO-12,APP-REPO-12,2026-08-27 06:22:39,SUCCESS
DEP-36188,REPO-18,APP-REPO-18,2026-06-16 08:08:38,SUCCESS
DEP-53463,REPO-11,APP-REPO-11,2026-04-29 10:10:34,SUCCESS
DEP-21362,REPO-11,APP-REPO-11,2026-08-28 21:11:41,SUCCESS
DEP-84498,REPO-15,APP-REPO-15,2026-06-20 09:59:28,SUCCESS
DEP-62550,REPO-2,APP-REPO-2,2025-10-08 22:29:26,SUCCESS
DEP-78125,REPO-7,APP-REPO-7,2026-09-17 00:16:25,SUCCESS
DEP-52964,REPO-3,APP-REPO-3,2026-09-12 20:58:52,SUCCESS
DEP-57069,REPO-6,APP-REPO-6,2026-02-12 16:26:21,SUCCESS
DEP-52413,REPO-15,APP-REPO-15,2025-12-01 11:03:10,FAILED
DEP-73273,REPO-5,APP-REPO-5,2026-04-11 23:09:47,FAILED
DEP-64262,REPO-8,APP-REPO-8,2026-04-13 05:21:11,SUCCESS
DEP-68856,REPO-1,APP-REPO-1,2026-08-06 04:51:00,SUCCESS
DEP-18783,REPO-13,APP-REPO-13,2025-11-20 11:36:05,SUCCESS
DEP-49722,REPO-10,APP-REPO-10,2025-12-16 06:45:33,SUCCESS
DEP-77537,REPO-2,APP-REPO-2,2025-10-12 11:56:26,SUCCESS
DEP-43903,REPO-11,APP-REPO-11,2026-05-06 10:13:47,SUCCESS
DEP-94852,REPO-6,APP-REPO-6,2026-09-10 19:25:50,SUCCESS
DEP-55706,REPO-0,APP-REPO-0,2026-01-02 16:36:26,SUCCESS
DEP-27125,REPO-18,APP-REPO-18,2026-04-17 17:28:24,SUCCESS
DEP-31679,REPO-17,APP-REPO-17,2026-07-19 17:17:43,SUCCESS
