enterprise_employee_id,source_system,source_identity,mapping_status,effective_date,expiry_date
EMP000001,SuccessFactors,EMP000001,ACTIVE,2020-01-01,9999-12-31
EMP000002,SuccessFactors,EMP000002,ACTIVE,2020-01-01,9999-12-31
EMP000003,SuccessFactors,EMP000003,ACTIVE,2020-01-01,9999-12-31
EMP000004,SuccessFactors,EMP000004,ACTIVE,2020-01-01,9999-12-31
EMP000005,SuccessFactors,EMP000005,ACTIVE,2020-01-01,9999-12-31
EMP000006,SuccessFactors,EMP000006,ACTIVE,2020-01-01,9999-12-31
EMP000007,SuccessFactors,EMP000007,ACTIVE,2020-01-01,9999-12-31
EMP000008,SuccessFactors,EMP000008,ACTIVE,2020-01-01,9999-12-31
EMP000009,SuccessFactors,EMP000009,ACTIVE,2020-01-01,9999-12-31
EMP000010,SuccessFactors,EMP000010,ACTIVE,2020-01-01,9999-12-31
EMP000011,SuccessFactors,EMP000011,ACTIVE,2020-01-01,9999-12-31
EMP000012,SuccessFactors,EMP000012,ACTIVE,2020-01-01,9999-12-31
EMP000013,SuccessFactors,EMP000013,ACTIVE,2020-01-01,9999-12-31
EMP000014,SuccessFactors,EMP000014,ACTIVE,2020-01-01,9999-12-31
EMP000015,SuccessFactors,EMP000015,ACTIVE,2020-01-01,9999-12-31
EMP000016,SuccessFactors,EMP000016,ACTIVE,2020-01-01,9999-12-31
EMP000017,SuccessFactors,EMP000017,ACTIVE,2020-01-01,9999-12-31
EMP000018,SuccessFactors,EMP000018,ACTIVE,2020-01-01,9999-12-31
EMP000019,SuccessFactors,EMP000019,ACTIVE,2020-01-01,9999-12-31
EMP000020,SuccessFactors,EMP000020,ACTIVE,2020-01-01,9999-12-31
EMP000021,SuccessFactors,EMP000021,ACTIVE,2020-01-01,9999-12-31
EMP000022,SuccessFactors,EMP000022,ACTIVE,2020-01-01,9999-12-31
EMP000023,SuccessFactors,EMP000023,ACTIVE,2020-01-01,9999-12-31
EMP000024,SuccessFactors,EMP000024,ACTIVE,2020-01-01,9999-12-31
EMP000025,SuccessFactors,EMP000025,ACTIVE,2020-01-01,9999-12-31
EMP000026,SuccessFactors,EMP000026,ACTIVE,2020-01-01,9999-12-31
EMP000027,SuccessFactors,EMP000027,ACTIVE,2020-01-01,9999-12-31
EMP000028,SuccessFactors,EMP000028,ACTIVE,2020-01-01,9999-12-31
EMP000029,SuccessFactors,EMP000029,ACTIVE,2020-01-01,9999-12-31
EMP000030,SuccessFactors,EMP000030,ACTIVE,2020-01-01,9999-12-31
EMP000031,SuccessFactors,EMP000031,ACTIVE,2020-01-01,9999-12-31
EMP000032,SuccessFactors,EMP000032,ACTIVE,2020-01-01,9999-12-31
EMP000033,SuccessFactors,EMP000033,ACTIVE,2020-01-01,9999-12-31
EMP000034,SuccessFactors,EMP000034,ACTIVE,2020-01-01,9999-12-31
EMP000035,SuccessFactors,EMP000035,ACTIVE,2020-01-01,9999-12-31
EMP000036,SuccessFactors,EMP000036,ACTIVE,2020-01-01,9999-12-31
EMP000037,SuccessFactors,EMP000037,ACTIVE,2020-01-01,9999-12-31
EMP000038,SuccessFactors,EMP000038,ACTIVE,2020-01-01,9999-12-31
EMP000039,SuccessFactors,EMP000039,ACTIVE,2020-01-01,9999-12-31
EMP000040,SuccessFactors,EMP000040,ACTIVE,2020-01-01,9999-12-31
EMP000041,SuccessFactors,EMP000041,ACTIVE,2020-01-01,9999-12-31
EMP000042,SuccessFactors,EMP000042,ACTIVE,2020-01-01,9999-12-31
EMP000043,SuccessFactors,EMP000043,ACTIVE,2020-01-01,9999-12-31
EMP000044,SuccessFactors,EMP000044,ACTIVE,2020-01-01,9999-12-31
EMP000045,SuccessFactors,EMP000045,ACTIVE,2020-01-01,9999-12-31
EMP000046,SuccessFactors,EMP000046,ACTIVE,2020-01-01,9999-12-31
EMP000047,SuccessFactors,EMP000047,ACTIVE,2020-01-01,9999-12-31
EMP000048,SuccessFactors,EMP000048,ACTIVE,2020-01-01,9999-12-31
EMP000049,SuccessFactors,EMP000049,ACTIVE,2020-01-01,9999-12-31
EMP000050,SuccessFactors,EMP000050,ACTIVE,2020-01-01,9999-12-31
EMP000051,SuccessFactors,EMP000051,ACTIVE,2020-01-01,9999-12-31
EMP000052,SuccessFactors,EMP000052,ACTIVE,2020-01-01,9999-12-31
EMP000053,SuccessFactors,EMP000053,ACTIVE,2020-01-01,9999-12-31
EMP000054,SuccessFactors,EMP000054,ACTIVE,2020-01-01,9999-12-31
EMP000055,SuccessFactors,EMP000055,ACTIVE,2020-01-01,9999-12-31
EMP000056,SuccessFactors,EMP000056,ACTIVE,2020-01-01,9999-12-31
EMP000057,SuccessFactors,EMP000057,ACTIVE,2020-01-01,9999-12-31
EMP000058,SuccessFactors,EMP000058,ACTIVE,2020-01-01,9999-12-31
EMP000059,SuccessFactors,EMP000059,ACTIVE,2020-01-01,9999-12-31
EMP000060,SuccessFactors,EMP000060,ACTIVE,2020-01-01,9999-12-31
EMP000061,SuccessFactors,EMP000061,ACTIVE,2020-01-01,9999-12-31
EMP000062,SuccessFactors,EMP000062,ACTIVE,2020-01-01,9999-12-31
EMP000063,SuccessFactors,EMP000063,ACTIVE,2020-01-01,9999-12-31
EMP000064,SuccessFactors,EMP000064,ACTIVE,2020-01-01,9999-12-31
EMP000065,SuccessFactors,EMP000065,ACTIVE,2020-01-01,9999-12-31
EMP000066,SuccessFactors,EMP000066,ACTIVE,2020-01-01,9999-12-31
EMP000067,SuccessFactors,EMP000067,ACTIVE,2020-01-01,9999-12-31
EMP000068,SuccessFactors,EMP000068,ACTIVE,2020-01-01,9999-12-31
EMP000069,SuccessFactors,EMP000069,ACTIVE,2020-01-01,9999-12-31
EMP000070,SuccessFactors,EMP000070,ACTIVE,2020-01-01,9999-12-31
EMP000071,SuccessFactors,EMP000071,ACTIVE,2020-01-01,9999-12-31
