issue_id,project_id,jira_user_id,issue_type,summary,priority,created_timestamp,resolved_timestamp,status,sprint_id,story_points
ORGA-3421,PRJ-6,USR-80010,Bug,View list approach side.,Low,2025-11-03 01:42:37,2025-11-05 01:42:37,DONE,SPR-PRJ-2-0,1
ORGA-4340,PRJ-6,USR-16743,Task,Billion peace base use.,Low,2026-04-18 10:57:31,2026-04-30 10:57:31,DONE,SPR-PRJ-0-15,2
TERM-9609,PRJ-7,USR-63264,Task,Director scene kitchen call money.,Low,2026-02-25 08:42:55,2026-03-03 08:42:55,DONE,SPR-PRJ-5-19,3
CHOI-8932,PRJ-4,USR-65255,Bug,Along ground trip.,Medium,2025-12-02 05:16:01,2025-12-06 05:16:01,DONE,SPR-PRJ-3-4,3
TERM-6194,PRJ-7,USR-82070,Bug,Level that various nature career way much.,Medium,2026-08-28 14:23:47,2026-09-02 14:23:47,DONE,SPR-PRJ-1-7,8
WIN-3399,PRJ-5,USR-31299,Bug,Lead see theory itself policy move training loss.,High,2026-05-14 10:01:43,2026-05-20 10:01:43,DONE,SPR-PRJ-9-20,5
PROF-9824,PRJ-3,USR-75715,Task,Kind hand employee field.,High,2025-12-24 04:04:32,2025-12-26 04:04:32,DONE,SPR-PRJ-6-13,8
LIST-4697,PRJ-8,USR-56438,Task,Spring summer gas light across two water.,Medium,2025-09-26 23:56:45,2025-10-08 23:56:45,DONE,SPR-PRJ-5-0,1
ANIM-7666,PRJ-2,USR-31581,Task,Across involve fall discuss account.,Medium,2026-03-31 05:40:21,2026-04-11 05:40:21,DONE,SPR-PRJ-2-3,3
THES-4804,PRJ-1,USR-74382,Story,In night house clear say.,High,2026-02-19 01:41:55,2026-02-26 01:41:55,DONE,SPR-PRJ-9-9,2
CHOI-1613,PRJ-4,USR-72163,Story,Determine bad personal might son party.,Medium,2026-02-25 07:34:09,2026-03-02 07:34:09,DONE,SPR-PRJ-4-20,8
PROF-2845,PRJ-3,USR-95823,Bug,Expect sea speak include table.,Medium,2026-06-23 10:55:51,2026-07-05 10:55:51,DONE,SPR-PRJ-1-23,1
PROF-3875,PRJ-3,USR-94136,Task,Face PM pay evening.,Medium,2025-12-06 19:14:36,2025-12-15 19:14:36,DONE,SPR-PRJ-3-11,1
ANIM-8822,PRJ-2,USR-13478,Task,Could affect anyone movement control bill especially.,Medium,2026-05-26 19:34:16,2026-05-30 19:34:16,DONE,SPR-PRJ-4-18,3
CONF-1187,PRJ-9,USR-15376,Story,Road do character management game find.,High,2026-07-01 17:11:40,2026-07-12 17:11:40,DONE,SPR-PRJ-1-6,5
LIST-6095,PRJ-8,USR-34881,Task,Your less social form such weight argue.,Medium,2026-08-03 10:36:52,2026-08-13 10:36:52,DONE,SPR-PRJ-2-8,2
CONF-7121,PRJ-9,USR-60351,Task,Author like court success stage stock.,Low,2026-07-25 04:41:39,2026-08-07 04:41:39,DONE,SPR-PRJ-7-2,2
LIST-8319,PRJ-8,USR-79822,Bug,His window east yes current.,High,2025-11-13 07:50:57,2025-11-14 07:50:57,DONE,SPR-PRJ-8-20,8
ANIM-3695,PRJ-2,USR-74178,Story,Miss word list race.,Low,2026-07-09 12:47:25,2026-07-13 12:47:25,DONE,SPR-PRJ-7-15,8
DEVE-8429,PRJ-0,USR-67711,Bug,City rock seat near business loss.,High,2026-01-26 04:09:19,2026-02-04 04:09:19,DONE,SPR-PRJ-4-22,3
