sprint_id,project_id,sprint_name,start_date,end_date
SPR-PRJ-0-0,PRJ-0,Sprint 0,2025-11-20,2026-09-25
SPR-PRJ-0-1,PRJ-0,Sprint 1,2026-05-26,2026-10-03
SPR-PRJ-0-2,PRJ-0,Sprint 2,2026-01-06,2026-09-25
SPR-PRJ-0-3,PRJ-0,Sprint 3,2026-07-04,2026-09-29
SPR-PRJ-0-4,PRJ-0,Sprint 4,2026-09-19,2026-10-02
SPR-PRJ-0-5,PRJ-0,Sprint 5,2026-05-15,2026-09-22
SPR-PRJ-0-6,PRJ-0,Sprint 6,2025-12-24,2026-09-30
SPR-PRJ-0-7,PRJ-0,Sprint 7,2026-02-22,2026-09-24
SPR-PRJ-0-8,PRJ-0,Sprint 8,2025-11-07,2026-09-21
SPR-PRJ-0-9,PRJ-0,Sprint 9,2025-12-13,2026-10-03
SPR-PRJ-0-10,PRJ-0,Sprint 10,2026-08-25,2026-10-03
SPR-PRJ-0-11,PRJ-0,Sprint 11,2026-06-18,2026-10-01
SPR-PRJ-0-12,PRJ-0,Sprint 12,2026-08-12,2026-09-24
SPR-PRJ-0-13,PRJ-0,Sprint 13,2026-05-19,2026-09-23
SPR-PRJ-0-14,PRJ-0,Sprint 14,2025-12-03,2026-10-02
SPR-PRJ-0-15,PRJ-0,Sprint 15,2026-09-11,2026-09-21
SPR-PRJ-0-16,PRJ-0,Sprint 16,2026-09-01,2026-10-03
SPR-PRJ-0-17,PRJ-0,Sprint 17,2026-04-09,2026-09-23
SPR-PRJ-0-18,PRJ-0,Sprint 18,2025-11-01,2026-10-02
SPR-PRJ-0-19,PRJ-0,Sprint 19,2026-06-09,2026-09-24
SPR-PRJ-0-20,PRJ-0,Sprint 20,2026-09-11,2026-10-04
SPR-PRJ-0-21,PRJ-0,Sprint 21,2026-08-13,2026-09-21
SPR-PRJ-0-22,PRJ-0,Sprint 22,2026-09-09,2026-10-01
SPR-PRJ-0-23,PRJ-0,Sprint 23,2026-04-16,2026-10-01
SPR-PRJ-1-0,PRJ-1,Sprint 0,2026-02-16,2026-09-22
SPR-PRJ-1-1,PRJ-1,Sprint 1,2026-06-23,2026-10-03
SPR-PRJ-1-2,PRJ-1,Sprint 2,2026-03-11,2026-09-26
SPR-PRJ-1-3,PRJ-1,Sprint 3,2026-08-03,2026-10-02
SPR-PRJ-1-4,PRJ-1,Sprint 4,2026-07-29,2026-09-30
SPR-PRJ-1-5,PRJ-1,Sprint 5,2026-02-09,2026-10-04
SPR-PRJ-1-6,PRJ-1,Sprint 6,2025-11-02,2026-10-01
SPR-PRJ-1-7,PRJ-1,Sprint 7,2025-11-16,2026-09-27
SPR-PRJ-1-8,PRJ-1,Sprint 8,2026-03-30,2026-09-26
SPR-PRJ-1-9,PRJ-1,Sprint 9,2026-09-14,2026-09-23
SPR-PRJ-1-10,PRJ-1,Sprint 10,2026-01-14,2026-10-04
SPR-PRJ-1-11,PRJ-1,Sprint 11,2026-03-03,2026-09-27
SPR-PRJ-1-12,PRJ-1,Sprint 12,2025-12-08,2026-09-21
SPR-PRJ-1-13,PRJ-1,Sprint 13,2026-06-28,2026-09-21
SPR-PRJ-1-14,PRJ-1,Sprint 14,2026-05-08,2026-10-03
SPR-PRJ-1-15,PRJ-1,Sprint 15,2025-11-10,2026-10-03
SPR-PRJ-1-16,PRJ-1,Sprint 16,2025-09-28,2026-09-30
SPR-PRJ-1-17,PRJ-1,Sprint 17,2026-06-07,2026-09-25
SPR-PRJ-1-18,PRJ-1,Sprint 18,2026-06-20,2026-09-28
SPR-PRJ-1-19,PRJ-1,Sprint 19,2026-03-03,2026-09-29
SPR-PRJ-1-20,PRJ-1,Sprint 20,2025-11-06,2026-09-24
SPR-PRJ-1-21,PRJ-1,Sprint 21,2026-03-10,2026-09-27
SPR-PRJ-1-22,PRJ-1,Sprint 22,2026-01-05,2026-10-04
SPR-PRJ-1-23,PRJ-1,Sprint 23,2026-03-09,2026-10-04
SPR-PRJ-2-0,PRJ-2,Sprint 0,2026-02-15,2026-09-27
SPR-PRJ-2-1,PRJ-2,Sprint 1,2026-06-17,2026-09-30
SPR-PRJ-2-2,PRJ-2,Sprint 2,2026-07-16,2026-09-25
SPR-PRJ-2-3,PRJ-2,Sprint 3,2026-03-05,2026-10-04
SPR-PRJ-2-4,PRJ-2,Sprint 4,2026-07-27,2026-10-04
SPR-PRJ-2-5,PRJ-2,Sprint 5,2026-04-01,2026-09-25
SPR-PRJ-2-6,PRJ-2,Sprint 6,2026-02-16,2026-10-04
