incident_id,change_id,relationship_type
INC825835,CHG514521,CAUSED_BY
INC757776,CHG315173,CAUSED_BY
INC706815,CHG851606,CAUSED_BY
INC927607,CHG642347,CAUSED_BY
INC291134,CHG494747,CAUSED_BY
INC580290,CHG852470,CAUSED_BY
INC664566,CHG896922,CAUSED_BY
INC863209,CHG328552,CAUSED_BY
INC317877,CHG128127,CAUSED_BY
INC962767,CHG774661,CAUSED_BY
INC270757,CHG283095,CAUSED_BY
INC118223,CHG144316,CAUSED_BY
INC894122,CHG678478,CAUSED_BY
INC800015,CHG276831,CAUSED_BY
INC395548,CHG152062,CAUSED_BY
INC289633,CHG447832,CAUSED_BY
INC229620,CHG260626,CAUSED_BY
INC397388,CHG260626,CAUSED_BY
INC167853,CHG793655,CAUSED_BY
INC228125,CHG429657,CAUSED_BY
INC695642,CHG703198,CAUSED_BY
INC378035,CHG404561,CAUSED_BY
INC319927,CHG918910,CAUSED_BY
INC530189,CHG517821,CAUSED_BY
INC243057,CHG321449,CAUSED_BY
INC775591,CHG593393,CAUSED_BY
INC526777,CHG918910,CAUSED_BY
INC543410,CHG378297,CAUSED_BY
INC758816,CHG885386,CAUSED_BY
INC265488,CHG376195,CAUSED_BY
INC346924,CHG281926,CAUSED_BY
INC239675,CHG821175,CAUSED_BY
INC176604,CHG632342,CAUSED_BY
INC105621,CHG751051,CAUSED_BY
INC372935,CHG319553,CAUSED_BY
INC590822,CHG725397,CAUSED_BY
INC157217,CHG132699,CAUSED_BY
INC217955,CHG451577,CAUSED_BY
INC199074,CHG177767,CAUSED_BY
INC876487,CHG736565,CAUSED_BY
INC138766,CHG466634,CAUSED_BY
INC645752,CHG345369,CAUSED_BY
INC412434,CHG139186,CAUSED_BY
INC376502,CHG936866,CAUSED_BY
INC235670,CHG456385,CAUSED_BY
INC367968,CHG815819,CAUSED_BY
INC663646,CHG875753,CAUSED_BY
INC101049,CHG750706,CAUSED_BY
INC889256,CHG921967,CAUSED_BY
INC458224,CHG838862,CAUSED_BY
INC285793,CHG143195,CAUSED_BY
INC716735,CHG429780,CAUSED_BY
INC619647,CHG469007,CAUSED_BY
INC105409,CHG361055,CAUSED_BY
INC699596,CHG612643,CAUSED_BY
INC359159,CHG608257,CAUSED_BY
INC416115,CHG485397,CAUSED_BY
INC344435,CHG774225,CAUSED_BY
INC502569,CHG332823,CAUSED_BY
INC213253,CHG639915,CAUSED_BY
INC541457,CHG144316,CAUSED_BY
INC927527,CHG495521,CAUSED_BY
INC122536,CHG182954,CAUSED_BY
INC948809,CHG707090,CAUSED_BY
INC927942,CHG581141,CAUSED_BY
INC862627,CHG725185,CAUSED_BY
INC330189,CHG621917,CAUSED_BY
INC776703,CHG192422,CAUSED_BY
INC525468,CHG695225,CAUSED_BY
INC857607,CHG260626,CAUSED_BY
INC986887,CHG447177,CAUSED_BY
INC245699,CHG152578,CAUSED_BY
INC308665,CHG113368,CAUSED_BY
INC235410,CHG703945,CAUSED_BY
INC742805,CHG947082,CAUSED_BY
INC832453,CHG367747,CAUSED_BY
INC584617,CHG431773,CAUSED_BY
INC111258,CHG249289,CAUSED_BY
INC331282,CHG301224,CAUSED_BY
INC199346,CHG940247,CAUSED_BY
INC391636,CHG626797,CAUSED_BY
INC292461,CHG847006,CAUSED_BY
INC544613,CHG960307,CAUSED_BY
INC399214,CHG978157,CAUSED_BY
INC959416,CHG674765,CAUSED_BY
INC396983,CHG774567,CAUSED_BY
INC544638,CHG438334,CAUSED_BY
INC952624,CHG447832,CAUSED_BY
INC714549,CHG686179,CAUSED_BY
INC868650,CHG806774,CAUSED_BY
INC295454,CHG877259,CAUSED_BY
INC609530,CHG534130,CAUSED_BY
INC736237,CHG449773,CAUSED_BY
INC548702,CHG144316,CAUSED_BY
INC408137,CHG700538,CAUSED_BY
INC988268,CHG631413,CAUSED_BY
INC988845,CHG695225,CAUSED_BY
INC579757,CHG487345,CAUSED_BY
INC861221,CHG770872,CAUSED_BY
INC596894,CHG261684,CAUSED_BY
INC763049,CHG838237,CAUSED_BY
INC952353,CHG321449,CAUSED_BY
INC681667,CHG750706,CAUSED_BY
INC689820,CHG909489,CAUSED_BY
INC736975,CHG632342,CAUSED_BY
INC820013,CHG846722,CAUSED_BY
INC276718,CHG962074,CAUSED_BY
INC160289,CHG391740,CAUSED_BY
INC593563,CHG595951,CAUSED_BY
INC549148,CHG538184,CAUSED_BY
INC216041,CHG447177,CAUSED_BY
INC541550,CHG791505,CAUSED_BY
INC195352,CHG653815,CAUSED_BY
INC834169,CHG809217,CAUSED_BY
INC234041,CHG181721,CAUSED_BY
INC334807,CHG353961,CAUSED_BY
INC440327,CHG436272,CAUSED_BY
INC285320,CHG429657,CAUSED_BY
