change_id,application_id,change_type,planned_start,planned_end,implementation_status,risk
CHG770487,APP-REPO-3,Standard,2026-06-02 06:31:53,2026-06-02 09:31:53,Successful,High
CHG872246,APP-REPO-3,Emergency,2025-11-09 04:19:20,2025-11-09 05:19:20,Successful,High
CHG131244,APP-REPO-2,Standard,2025-10-06 15:45:31,2025-10-06 17:45:31,Successful,High
CHG688508,APP-REPO-6,Emergency,2026-07-11 22:23:35,2026-07-12 02:23:35,Successful,Low
CHG391704,APP-REPO-0,Standard,2026-01-11 18:06:02,2026-01-11 22:06:02,Successful,High
CHG325772,APP-REPO-10,Standard,2025-12-31 01:11:57,2025-12-31 02:11:57,Successful,Medium
CHG988662,APP-REPO-11,Emergency,2025-12-22 15:06:59,2025-12-22 18:06:59,Successful with issues,Low
CHG581741,APP-REPO-17,Standard,2025-11-20 03:13:45,2025-11-20 07:13:45,Successful,Medium
CHG969693,APP-REPO-19,Normal,2026-07-09 23:03:03,2026-07-10 01:03:03,Successful,High
CHG793384,APP-REPO-7,Normal,2025-11-05 17:57:57,2025-11-05 18:57:57,Successful with issues,High
CHG498591,APP-REPO-8,Normal,2026-06-16 17:56:16,2026-06-16 20:56:16,Successful,Medium
CHG319684,APP-REPO-8,Emergency,2026-07-11 14:09:55,2026-07-11 15:09:55,Successful,High
CHG660086,APP-REPO-7,Standard,2026-09-08 10:21:28,2026-09-08 14:21:28,Successful,Low
CHG821590,APP-REPO-17,Standard,2026-04-26 17:49:34,2026-04-26 20:49:34,Successful with issues,High
CHG340174,APP-REPO-1,Normal,2025-10-30 16:58:13,2025-10-30 20:58:13,Successful,High
CHG694731,APP-REPO-10,Standard,2026-05-14 06:25:50,2026-05-14 10:25:50,Successful,Low
CHG581141,APP-REPO-4,Normal,2026-03-09 19:14:17,2026-03-09 21:14:17,Successful,Low
CHG665158,APP-REPO-8,Emergency,2025-10-09 06:52:39,2025-10-09 10:52:39,Successful with issues,Medium
CHG479580,APP-REPO-7,Standard,2025-10-08 12:22:18,2025-10-08 16:22:18,Successful,High
CHG214975,APP-REPO-4,Emergency,2025-11-02 07:56:40,2025-11-02 09:56:40,Successful,Medium
CHG725380,APP-REPO-2,Normal,2025-12-20 20:29:43,2025-12-21 00:29:43,Successful,Medium
CHG654816,APP-REPO-8,Emergency,2025-12-26 07:11:54,2025-12-26 08:11:54,Successful,High
CHG814825,APP-REPO-17,Normal,2026-04-11 04:53:39,2026-04-11 07:53:39,Successful,Medium
CHG265840,APP-REPO-14,Standard,2026-05-18 17:51:46,2026-05-18 20:51:46,Failed,High
CHG632342,APP-REPO-3,Emergency,2025-10-07 05:58:29,2025-10-07 08:58:29,Successful with issues,Low
CHG738551,APP-REPO-6,Standard,2026-05-02 21:49:29,2026-05-03 00:49:29,Successful,Low
CHG916449,APP-REPO-16,Standard,2025-12-13 03:56:34,2025-12-13 06:56:34,Successful,High
CHG480612,APP-REPO-9,Standard,2026-07-02 00:25:41,2026-07-02 01:25:41,Successful,Low
