location_id,city,country
LOC000,North Judithbury,UK
LOC001,East Jill,USA
LOC002,New Roberttown,Australia
LOC003,East Jessetown,Germany
LOC004,Lake Debra,Germany
LOC005,Robinsonshire,India
LOC006,Lisatown,UK
LOC007,Lake Roberto,France
LOC008,Ericmouth,UK
LOC009,North Noahstad,Brazil
LOC010,Cassandraton,Singapore
LOC011,Herrerafurt,USA
LOC012,New Kellystad,USA
LOC013,Lake Chad,UK
LOC014,Port Keith,Germany
LOC015,Port Jesseville,Germany
LOC016,Ramirezstad,France
LOC017,West Michael,Brazil
LOC018,Jacquelineland,USA
LOC019,New Jessica,France
