review_id,employee_id,review_period,review_date,review_status,outcome_category,review_cycle
REV_EMP000001_2023-H1,EMP000001,2023-H1,2025-01-12,COMPLETED,OUTSTANDING,2023-H1
REV_EMP000001_2023-H2,EMP000001,2023-H2,2024-12-31,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000002_2022-H1,EMP000002,2022-H1,2025-06-08,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H1
REV_EMP000002_2022-H2,EMP000002,2022-H2,2024-11-23,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000002_2023-H1,EMP000002,2023-H1,2025-09-24,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000003_2022-H1,EMP000003,2022-H1,2025-12-07,COMPLETED,OUTSTANDING,2022-H1
REV_EMP000003_2023-H1,EMP000003,2023-H1,2026-04-21,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000003_2023-H2,EMP000003,2023-H2,2024-10-28,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000004_2022-H1,EMP000004,2022-H1,2025-11-19,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000004_2022-H2,EMP000004,2022-H2,2025-07-27,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000004_2023-H1,EMP000004,2023-H1,2025-04-11,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000004_2023-H2,EMP000004,2023-H2,2024-11-25,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000005_2022-H2,EMP000005,2022-H2,2025-07-26,COMPLETED,EXCEEDS_EXPECTATIONS,2022-H2
REV_EMP000006_2022-H1,EMP000006,2022-H1,2025-10-14,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000006_2022-H2,EMP000006,2022-H2,2025-08-23,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000006_2023-H1,EMP000006,2023-H1,2026-05-14,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000006_2023-H2,EMP000006,2023-H2,2026-03-16,COMPLETED,MEETS_EXPECTATIONS,2023-H2
REV_EMP000007_2022-H1,EMP000007,2022-H1,2024-12-30,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000007_2023-H1,EMP000007,2023-H1,2026-05-04,COMPLETED,MEETS_EXPECTATIONS,2023-H1
REV_EMP000007_2023-H2,EMP000007,2023-H2,2025-01-02,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000008_2022-H1,EMP000008,2022-H1,2025-09-28,COMPLETED,MEETS_EXPECTATIONS,2022-H1
REV_EMP000008_2022-H2,EMP000008,2022-H2,2025-11-28,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000008_2023-H2,EMP000008,2023-H2,2025-02-20,COMPLETED,EXCEEDS_EXPECTATIONS,2023-H2
REV_EMP000009_2022-H2,EMP000009,2022-H2,2025-10-03,COMPLETED,MEETS_EXPECTATIONS,2022-H2
REV_EMP000009_2023-H1,EMP000009,2023-H1,2025-07-24,COMPLETED,MEETS_EXPECTATIONS,2023-H1
