attendance_event_id,employee_id,event_date,location_type,event_type
bdd640fb-0667-4ad1-9c80-317fa3b1799d,EMP000001,2025-09-26,OFFICE,OFFICE
23b8c1e9-3924-46de-beb1-3b9046685257,EMP000001,2025-09-29,NON_OFFICE,REMOTE
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,EMP000001,2025-09-30,NON_OFFICE,LEAVE
972a8469-1641-4f82-8b9d-2434e465e150,EMP000001,2025-10-01,NON_OFFICE,REMOTE
17fc695a-07a0-4a6e-8822-e8f36c031199,EMP000001,2025-10-02,OFFICE,OFFICE
9a1de644-815e-46d1-bb8f-aa1837f8a88b,EMP000001,2025-10-03,OFFICE,OFFICE
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,EMP000001,2025-10-06,NON_OFFICE,REMOTE
6b65a6a4-8b81-48f6-b38a-088ca65ed389,EMP000001,2025-10-07,OFFICE,OFFICE
47378190-96da-4dac-b2ff-5d2a386ecbe0,EMP000001,2025-10-08,NON_OFFICE,LEAVE
c241330b-01a9-471f-9e8a-774bcf36d58b,EMP000001,2025-10-09,OFFICE,OFFICE
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,EMP000001,2025-10-10,OFFICE,OFFICE
371ecd7b-27cd-4130-8722-9389571aa876,EMP000001,2025-10-13,NON_OFFICE,REMOTE
1a2a73ed-562b-4f79-8374-59eef50bea63,EMP000001,2025-10-14,OFFICE,OFFICE
5be6128e-18c2-4797-a142-ea7d17be3111,EMP000001,2025-10-15,OFFICE,OFFICE
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,EMP000001,2025-10-16,OFFICE,OFFICE
759cde66-bacf-43d0-8b1f-9163ce9ff57f,EMP000001,2025-10-17,OFFICE,OFFICE
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,EMP000001,2025-10-20,OFFICE,OFFICE
4b0dbb41-8d52-48f1-942c-3fe860e7a113,EMP000001,2025-10-21,NON_OFFICE,REMOTE
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,EMP000001,2025-10-22,NON_OFFICE,REMOTE
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,EMP000001,2025-10-23,OFFICE,OFFICE
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,EMP000001,2025-10-24,OFFICE,OFFICE
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,EMP000001,2025-10-27,OFFICE,OFFICE
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,EMP000001,2025-10-28,OFFICE,OFFICE
